"Story","Title","Result","Date","Stability","Duration (s)"
"Add My Network","As user i have be able to add my network","SUCCESS","2022-03-22T18:41:07.609+07:00[Asia/Bangkok]","0.0","0.66"
"FindJob","As user i have to find job in linkedin","SUCCESS","2022-03-22T18:41:08.284+07:00[Asia/Bangkok]","0.0","0.08"
"Login","As user i have be able to success login","SUCCESS","2022-03-22T18:41:08.371+07:00[Asia/Bangkok]","0.0","0.05"
"View Message","As user i have be able to view my message","SUCCESS","2022-03-22T18:41:08.43+07:00[Asia/Bangkok]","0.0","0.06"
"ForgotPassword","As user i have be able to success reset password","SUCCESS","2022-03-22T18:41:08.499+07:00[Asia/Bangkok]","0.0","0.05"
"ViewProfile","As a user i have be able to see my profile","PENDING","2022-03-22T18:41:08.589+07:00[Asia/Bangkok]","0.0","0.02"
