"Story","Title","Result","Date","Stability","Duration (s)"
"Add My Network","As user i have be able to add my network","SUCCESS","2022-03-21T19:49:47.688+07:00[Asia/Bangkok]","0.0","0.59"
"FindJob","As user i have to find job in linkedin","SUCCESS","2022-03-21T19:49:48.296+07:00[Asia/Bangkok]","0.0","0.15"
"Login","As user i have be able to success login","SUCCESS","2022-03-21T19:49:48.468+07:00[Asia/Bangkok]","0.0","0.1"
"View Message","As user i have be able to view my message","SUCCESS","2022-03-21T19:49:48.582+07:00[Asia/Bangkok]","0.0","0.1"
"ForgotPassword","As user i have be able to success reset password","SUCCESS","2022-03-21T19:49:48.693+07:00[Asia/Bangkok]","0.0","0.06"
